Score,Date,Content
2,2023-11-10 12:53:15,I really enjoy it because he have good effect but the issue is I don't like how slow it's is
5,2023-11-10 12:52:17,ممتاز جدا
5,2023-11-10 12:51:37,Ok
5,2023-11-10 12:51:19,I like it
5,2023-11-10 12:51:04,Amazing
5,2023-11-10 12:51:04,Great app
5,2023-11-10 12:50:52,Nice
5,2023-11-10 12:50:44,Excellent performance 💯
5,2023-11-10 12:50:30,رهيب
1,2023-11-10 12:50:14,Should be band
5,2023-11-10 12:50:07,Bro how to comment in vidyo tiktok
5,2023-11-10 12:49:41,Nice app
3,2023-11-10 12:49:31,"To quick to pull true comments, fact finders. Indeed."
5,2023-11-10 12:49:00,Awsome appppppppppppp i love tok tik makers and owner of tik tok👌
5,2023-11-10 12:48:02,Great
1,2023-11-10 12:47:54,Bad App
1,2023-11-10 12:47:53,It shows stuff that I don't even look at or follow.
2,2023-11-10 12:47:43,Iam akbar my sports teams
2,2023-11-10 12:47:03,Dark mood for android when?!!!!!
5,2023-11-10 12:46:58,It's funny
5,2023-11-10 12:45:49,gart app
5,2023-11-10 12:45:44,Yes Please
1,2023-11-10 12:45:01,Chinese freaking Spyware 😭
1,2023-11-10 12:44:27,boytcott tiktok
1,2023-11-10 12:43:13,انت فقط مجرد متابع لما تمليه عليك ادارة فيسبوك ولا يحق لك ابداء رأيك كإنسان بشري على هذا الكوكب أنت مجرد أحمق لا يستحق أن تتكلم هكذا أشعر وانا اتصفح هذا التطبيق
5,2023-11-10 12:42:37,Great app
5,2023-11-10 12:41:07,👍
5,2023-11-10 12:40:52,Nice
5,2023-11-10 12:40:39,Vary nice app
5,2023-11-10 12:39:43,grate app in tha pakistan
5,2023-11-10 12:39:12,Amazing just amazing but I got 600 likes on a comment and it says in my profile 50 likes.......
5,2023-11-10 12:38:39,Meesha fine ayaan u nac ney nio maxan sameyna
5,2023-11-10 12:37:58,Please stop playing in my third eye.
3,2023-11-10 12:37:45,Good 👍🏻
4,2023-11-10 12:37:36,"Overall a great app. Sometimes wonky with its uploading of videos, but the one thing that needs to be reviewed is how they moderate certain videos."
5,2023-11-10 12:37:06,I like it
5,2023-11-10 12:36:49,Good job
1,2023-11-10 12:36:39,"Repeatedly, the META administration of this app proves that it is bios and standing against my country KSA. I uninstalled it with no regrets."
5,2023-11-10 12:36:28,اتل
5,2023-11-10 12:35:50,Great platform to help others and to be helped
5,2023-11-10 12:34:38,Good.
3,2023-11-10 12:33:54,Is just that 13 year olds are no more allowed to access some things
5,2023-11-10 12:33:45,Transformed social media
4,2023-11-10 12:33:25,Too sweat
1,2023-11-10 12:33:19,🇸🇦🇸🇦🇸🇦🇸🇦
5,2023-11-10 12:33:08,Awesome
5,2023-11-10 12:32:23,good app 🥰♥️😇
2,2023-11-10 12:31:55,I been having problems with this app
